parent_asin,title,original_description,original_features,image_url,image_variant,ai_generated_description
B00005QJE0,The English Garden,,,https://m.media-amazon.com/images/I/71+Vm+vkSaL._AC_.jpg,MAIN,the english garden magazine - spring 2017
B00006K1ES,Acadiana Profile    Print Magazine,Feature stories on the Cajun country of South Louisiana.,,https://m.media-amazon.com/images/I/41SJ+cbh25L._AC_.jpg,MAIN,a picture of a man with his eyes closed
B00005NIQO,More    Print Magazine,,,https://m.media-amazon.com/images/I/511T1mhbkGL._AC_.jpg,MAIN,a woman in a white dress on the cover of a magazine
B002GWD4F8,Intermezzo Magazine    Print Magazine,"Intemezzo is for passionate-about-life readers who enjoy cooking and entertaining at home and traveling in search of wonderful life experiences. Great foods, wines and spirits, kitchen, home decor and renovation, wellness and travel are in each issue. It's a one-stop shop to the great experiences of life!",,https://m.media-amazon.com/images/I/617tK9Jh4WL._AC_.jpg,MAIN,the cover of interezo magazine
B00006KFSS,Good Housekeeping - British Edition    Print Magazine,"Complete lifestyle magazine focused on home and family. Combines fashion, beauty, homes, gardening, family and health issues with cookery and consumer features, researched and tested in the Good Housekeeping Institute.",,https://m.media-amazon.com/images/I/51a1Z40jb1L._AC_.jpg,MAIN,a magazine cover with a woman sitting on a chair
B000H1R1QI,Quick Quilts    Print Magazine,"Filled with time-saving secrets and quick, fun projects that make it easy for you to create amazing quilts! Perfect for both beginners and seasoned quilters. Every issue includes 14+ quick & easy quilting projects, quiltmaking fundamentals, step-by-step instructions and fun gift ideas! Published 6 times a year.",,https://m.media-amazon.com/images/I/512Oh4eBgnL._AC_.jpg,MAIN,the cover of the quilter ' s quick quilt book
B00006KX6L,Small Farm Today : Total Concept Small Farming Gardening & R    Print Magazine,"Discusses alternative and traditional crops, livestock, and direct marketing, designed to help make small and family farmers profitable and sustainable.",,https://m.media-amazon.com/images/I/510SG4190FL._AC_.jpg,MAIN,the cover of a book with pictures of chickens in it
B007TBWZ3I,Sagewoman Magazine,,,https://m.media-amazon.com/images/I/61CuNzBk1ML._AC_.jpg,MAIN,a book cover with a picture of a woman in a forest
B00008GT3F,The Writer,,,https://m.media-amazon.com/images/I/51e1oVw1KzL._AC_.jpg,MAIN,the book revolution the hidden power of reting stories
B073LH2P6G,Popular Science    Print Magazine,"The 'What's New'"" magazine of science and technology. Covering the latest developments in cars, electronics, communications, tools, energy, aviation, science, space exploration and much more.",,https://m.media-amazon.com/images/I/51DBKDjxRhL._AC_.jpg,MAIN,the cover of a magazine with an umbrella on fire
B00006KAOO,Crochet World,,,https://m.media-amazon.com/images/I/51P5DYlRsNL._AC_.jpg,MAIN,the front cover of a crochel bag
B00005N7XF,London Review of Books,,,https://m.media-amazon.com/images/I/41dZkQVzsoL._AC_.jpg,MAIN,"the cover of london review books, featuring an image of a green background with red and white squares"
B07CXC3392,Entrepreneur Magazine    Print Magazine,"Entrepreneur magazine is for businesses owners, offering inspiration and information on marketing, management, technology, the latest trends and strategies.",,https://m.media-amazon.com/images/I/614EqyJl1BL._AC_.jpg,MAIN,a man in a suit and tie on the cover of entrepreneur magazine
B01A9FXT7Q,Vintage Collector    Print Magazine,Beckett Vintage Collector is the house of latest and accurate information in the world of Vintage Card Collecting. The magazine is dedicated to covering the vintage trading cards and collectibles market. Each issue of Beckett Vintage Collector contains 112 pages with colourful images and informative articles written by industry experts.,,https://m.media-amazon.com/images/I/41sDOfmJLrL._AC_.jpg,MAIN,the cover of a magazine with a baseball player
B0160CQBMC,Poetry,,,https://m.media-amazon.com/images/I/41QsZC24CKL._AC_.jpg,MAIN,poetry and the art of writing with a red background
B000K0YFQA,Gourmet    Print Magazine,,,https://m.media-amazon.com/images/I/51FAeRjiZ9L._AC_.jpg,MAIN,a plate of food on a red background
B0160CM0VI,Click    Print Magazine,,,https://m.media-amazon.com/images/I/51xc8ou3v-L._AC_.jpg,MAIN,the cover of a book with a mountain goat on it
B00170BDVC,Civil War Times,,,https://m.media-amazon.com/images/I/51aEOQvEUXL._AC_.jpg,MAIN,a magazine cover with two men in uniform
B07CLYMTGJ,American Farmhouse Style,,,https://m.media-amazon.com/images/I/61X4X0nx13L._AC_.jpg,MAIN,the cover of american farmhouse style magazine
B00007KZL3,New Zealand Quilter    Print Magazine,"Now in its twelfth year of publication, New Zealand QUILTER provides information and inspiration for quilters world wide. From classic to contemporary, art quilts through to domestic bed quilts, New Zealand QUILTER showcases them all in glorious colour.",,https://m.media-amazon.com/images/I/51Y0P7G85RL._AC_.jpg,MAIN,quilter ' s companion quilts of the pacific
B001C1WNM4,"O, The Oprah Magazine    Print Magazine",,,https://m.media-amazon.com/images/I/51oT0mEELpL._AC_.jpg,MAIN,michelle and michelle on the cover of the op magazine
B0160CMACC,Cricket    Print Magazine,,,https://m.media-amazon.com/images/I/51ppa29SlqL._AC_.jpg,MAIN,a picture of a bear and other animals in a park
B002PXW12U,RifleShooter,,,https://m.media-amazon.com/images/I/6151H4sw3pL._AC_.jpg,MAIN,a magazine cover with a rifle on it
B01HBMU6HG,Elle    Print Magazine,"ELLE is for the bold and the intelligent. It is for women who provoke and inspire. Through rich visual content, sharp reporting, and a mix of high fashion and personal style, we deliver a sense of discovery and optimism that encourages women to leave their unique mark on the world.",,https://m.media-amazon.com/images/I/61T64h52QyL._AC_.jpg,MAIN,a woman in a gold dress on the cover of elle magazine
B002PXW102,Quick Quilts    Print Magazine,"Filled with time-saving secrets and quick, fun projects that make it easy for you to create amazing quilts! Perfect for both beginners and seasoned quilters. Every issue includes 14+ quick & easy quilting projects, quiltmaking fundamentals, step-by-step instructions and fun gift ideas! Published 6 times a year.",,https://m.media-amazon.com/images/I/512Oh4eBgnL._AC_.jpg,MAIN,the cover of quilts and quilters magazine
B00007L0C5,Sculpture Review    Print Magazine,"Presents contemporary and historical representational American sculpture. Features reproductions, color tip-ins, news of sculpture and technical information and book reviews are in each issue.",,https://m.media-amazon.com/images/I/51f672j+K1L._AC_.jpg,MAIN,"the cover of sculpture review magazine, featuring a photo of a woman ' s head"
B01JGN175I,Calm Color Create    Print Magazine,"Calm Color Create - an adult coloring book and the latest craze in publishing, has 64 pages of intricate coloring spreads, designed to help focus the mind and aid relaxation. Each issue is filled with sophisticated designs, bespoke patterns, mandalas and tangles based on a theme. Also included is a feature section offering tips and techniques, craft project ideas using the completed drawings as well as a gallery showcasing the colorists finished masterpieces. The pages are perforated for easy removal. Calm Color Create offers a form of escapism, where one can shed the stress of daily life. Published bi-monthly.",,https://m.media-amazon.com/images/I/61A36jDQrLL._AC_.jpg,MAIN,a coloring book with an image of a wolf ' s face
B00006K34D,American Bungalow    Print Magazine,"A magazine published in the interest of preserving and restoring the modest American 20th century home, the bungalow, and the rich lifestyle it affords. Usually ships within 3-5 weeks.",,https://m.media-amazon.com/images/I/61DMuxDfKdL._AC_.jpg,MAIN,"the cover of american bungalows, featuring a house on top of a cliff"
B00005Q7E7,Bird Watchers Digest    Print Magazine,"Experience the beauty and tranquility of birds in your own backyard and beyond. Bird Watchers Digest offers tips on feeding, gardening, bird identification, and more.",,https://m.media-amazon.com/images/I/516W7nWLWgL._AC_.jpg,MAIN,birdwatcher ' s digest cover - 3 / 1 / 2014
B01M0DV32A,GQ    Print Magazine,"Product Description Dive into GQ ’s culture-defining covers with Timothée Chalamet, Travis Scott, Zendaya, Daniel Craig, LeBron James, and more. From dynamic storytelling to elevated style—if it’s at the center of the zeitgeist, it’s in the magazine. Subscribe now and never miss bleeding-edge fashion from all over the world, captivating photography from innovative artists, and unforgettable profiles and longform journalism. Amazon.com Review GQ is the flagship of men's fashion and style. To be GQ is to be forward-looking, progressive and cutting-edge. GQ is home to some of the most elevated and respected in photography, design, reporting and writing in the men’s space. GQ fosters a community where readers gather to be inspired and exchange ideas around style, creativity and culture.  As masculinity evolves and men's fashion has moved to the center of the global pop-culture conversation, GQ 's authority has never been broader or stronger.  Subscribe to GQ and become a part of this forwa",,https://m.media-amazon.com/images/I/61Y4HORBErL._AC_.jpg,MAIN,a man in a fur coat and sunglasses on the cover of gq magazine
B00005N7XS,CosmoGIRL!    Print Magazine,,,https://m.media-amazon.com/images/I/61wRlDfhnaL._AC_.jpg,MAIN,taylor taylor on the cover of cosmopolitan magazine
B00024CXM2,Icreate - England,,,https://m.media-amazon.com/images/I/51-4R3Ko7rL._AC_.jpg,MAIN,a magazine cover with an image of a cell
B08R2D5WKZ,The Pioneer Woman Magazine    Print Magazine,"Ree Drummond shares her enthusiasm for the simple joys in life and inspires readers with her newest creation, The Pioneer Woman Magazine. Each issue is like a day with a good friend, full of helpful advice, great recipes, fun shopping and heartfelt stories - and lots of laughs.",,https://m.media-amazon.com/images/I/71Vo-ghOTcL._AC_.jpg,MAIN,a woman standing next to a christmas wreath
B00006K8TC,Chronicles,,,https://m.media-amazon.com/images/I/518D8AWCDKL._AC_.jpg,MAIN,"the cover of chronicle magazine, featuring a variety of magazines"
B001THPA44,Veranda    Print Magazine,,,https://m.media-amazon.com/images/I/61+B8HIyMYL._AC_.jpg,MAIN,a living room with a fireplace and some furniture
B002DRBHUU,Rolling Stone - 6 Month Auto Renew    Print Magazine,,,https://m.media-amazon.com/images/I/610GuzIr8hL._AC_.jpg,MAIN,a magazine cover with two women in suits
B00007G2X5,Star Magazine    Print Magazine,,,https://m.media-amazon.com/images/I/61dI6hbjn3L._AC_.jpg,MAIN,"the cover of star magazine, with a photo of meg and prince harry"
B00006L0A1,Tufts University Health & Nutrition Letter,,,https://m.media-amazon.com/images/I/61D2QwYhrgL._AC_.jpg,MAIN,a newspaper article with a picture of a woman ' s face
B00005N7NY,Interview Magazine    Print Magazine,,,https://m.media-amazon.com/images/I/51E68XPDsML._AC_.jpg,MAIN,a magazine cover with a woman ' s face covered in black and white
B07QRN3Y9V,Better Homes and Gardens    Print Magazine,"Better Homes and Gardens is the vibrant, down-to-earth guide for the woman who is passionate about her home and garden and all that they encompass.",,https://m.media-amazon.com/images/I/61cvlVo5WnL._AC_.jpg,MAIN,a magazine cover with flowers in a vase
B09NRG2F5Z,Motor Trend - 6 Month Auto Renew,,,https://m.media-amazon.com/images/I/61pcUmWIxPL._AC_.jpg,MAIN,the cover of a magazine with an orange sports car driving on a track
B000060MKJ,Easyriders    Print Magazine,"This magazine truly captures the biker lifestyle in all its tire-smoking glory! Each issue showcases the latest trends in custom motorcycles with beautifully shot features offering the newest parts,and accessories and takes readers inside the country's wide-ranging motorcycle world.",,https://m.media-amazon.com/images/I/51rcsiRBBwL._AC_.jpg,MAIN,a woman sitting on top of a motorcycle
B002ELLZLQ,Maui No Ka Oi Magazine,,,https://m.media-amazon.com/images/I/51hR5YLo06S._AC_.jpg,MAIN,a magazine cover with a beach scene in the background
B00007AXBE,Field - England    Print Magazine,"British outdoors magazine; horses, hunting, camping etc.",,https://m.media-amazon.com/images/I/51FaR-WTjeL._AC_.jpg,MAIN,a magazine with a picture of a man on the cover
B0002I7UR6,Beckett Football,,,https://m.media-amazon.com/images/I/41K5tpuq4rL._AC_.jpg,MAIN,the cover of a magazine with a football player on it
B01N819UDU,Shape    Print Magazine,"Shape magazine is the authority for women who want to lead an active, healthy lifestyle. Shape inspires women with personalized workout guides, timely health & nutrition advice, and beauty & style tips to achieve balance in mind, body and spirit.",,https://m.media-amazon.com/images/I/51FhT+gJCLL._AC_.jpg,MAIN,a woman sitting on the cover of a magazine
B00005UMOP,Cruising World,,,https://m.media-amazon.com/images/I/61I7RvPqLLL._AC_.jpg,MAIN,cruising world cover - 3 / 1 / 2018
B002PXW1WU,All You    Print Magazine,"Product Description All You -- Enjoy Life for Less! Each issue offers coupons, money saving tips, affordable menus, fashion for all figures and budgets, and advice from real women like you. Amazon.com Review All You magazine provides a wealth of information and advice on running your household and offers ingenious ideas for organizing your activities outside of it as well. The minute you open its glossy cover, you will wonder how you ever got along without it.  All You magazine always includes delicious recipes that your family will be excited to eat. End the boredom of the same meals every week by taking the plunge and seeking out new experiences in the vast world of gastronomy. You'll also get tips and hints from cooks on saving time and money on your culinary endeavors.  All You magazine features regular articles on dieting, health, and nutrition to get you into shape, both physically and emotionally. Depending on the month, you'll read advice on losing weight faster for a special o",,https://m.media-amazon.com/images/I/61sSy2-9yDL._AC_.jpg,MAIN,the cover of all you can eat magazine
B00QRD662A,Cosmopolitan Print Access AR    Print Magazine,,,https://m.media-amazon.com/images/I/61zO-uQ5ysL._AC_.jpg,MAIN,the cover of cosmopolitan magazine featuring a woman in a white dress
B002DRBHV4,Us Weekly,,,https://m.media-amazon.com/images/I/619KDdG4jyL._AC_.jpg,MAIN,"the cover of people magazine, featuring jennifer ' s daughter and husband"
B00007AZ93,Light of Consciousness : Journal of Spiritual Awakening,,,https://m.media-amazon.com/images/I/51NmALbR3KL._AC_.jpg,MAIN,a magazine cover with hands in the shape of a circle
B000IAZ4QC,Lok Magazin    Print Magazine,,,https://m.media-amazon.com/images/I/519SNyop1oL._AC_.jpg,MAIN,a magazine with a train on the cover
B000U5IQ2Y,InStyle    Print Magazine,"Product Description InStyle celebrates the private side of public faces, revealing the personal style choices of the world's most fascinating people. An insider's guide to trends in beauty, fashion, home entertaining and charities, InStyle is a trusted source for inspiration and ideas. Amazon.com Review Who Reads InStyle ? The InStyle reader is a confident and fabulous woman who believes style is not about fad or fleeting fashion moments, but rather an ongoing expression of her fun and fresh personality. This expression transcends her closet and cosmetic bag; she seeks style inspiration and strives to personalize this style across all of her life, from updating the look of her home to the type of car she opts to drive. Over 9.6 million women in their 20's, 30's and 40's read InStyle each month. What You Can Expect in Each Issue: Each month, the issue starts with ""What's Now,"" an energetic roundup of what's new and exciting in the world of style. Then it's on to ""The Look,"" and its uniq",,https://m.media-amazon.com/images/I/61-yjPmRdoL._AC_.jpg,MAIN,"the cover of ins magazine, featuring a model with long blonde hair"
B000EGCIVY,Sports Illustrated KIDS    Print Magazine,,,https://m.media-amazon.com/images/I/61DlAXHQHiL._AC_.jpg,MAIN,an image of a hockey team on the cover of sports illustrated
B000A3PCQE,Log Homes Illustrated,,,https://m.media-amazon.com/images/I/61xR5tF9F3L._AC_.jpg,MAIN,log homes cover - 3 / 1 / 2018
B000063XJR,Fine Homebuilding,,,https://m.media-amazon.com/images/I/41PCXEOqkwL._AC_.jpg,MAIN,the complete guide to the best miter saw
B001THPA12,Cosmopolitan    Print Magazine,,,https://m.media-amazon.com/images/I/61JgL1TwmKL._AC_.jpg,MAIN,"the cover of cosmopolitan magazine, featuring a woman in a red dress"
B00008KFZH,Sports Afield,,,https://m.media-amazon.com/images/I/613+Wc9uJcL._AC_.jpg,MAIN,a magazine with a goat on the cover
B00HG1BP3M,Lucky All Access + Free Scarf & Lucky's Digital Guides    Print Magazine,,,https://m.media-amazon.com/images/I/51t8Ua9XAQL._AC_.jpg,MAIN,a tablet with a magazine on the screen
B00HQ4IDNE,Simply Knitting    Print Magazine,"Simply Knitting is the UK's best-selling knitting magazine. Whether you're a beginner or you've been knitting for years you'll find lots of exciting patterns in every issue, from on-trend garments to quick-and-easy gift ideas and Alan Dart's irresistible knitted toys. Each issue is packed with real-life reader stories, knitting news, designer interviews and great product picks, making it essential reading for any knitter. *Please Note: Our digital edition does not include the covermount items or supplements you would find with printed copies*",,https://m.media-amazon.com/images/I/51xPc6QTp6L._AC_.jpg,MAIN,simply knits magazine - april 2015
B002PXVYGE,Guitar Player    Print Magazine,"GUITAR PLAYER is a magazine for serious guitarists who want to make the most out of their playing and keep informed on developments in equipment and instruments. Editorial emphasizes stylistic diversity in coverage of music and leading and up and coming guitarists. Features include instructional columns, how-to advice, honest equipment reviews, recording, song writing, record reviews and career information.",,https://m.media-amazon.com/images/I/51D5AW1dfjL._AC_.jpg,MAIN,a magazine cover with an image of a man holding a guitar
B002PXW06C,EatingWell    Print Magazine,"Amazon.com Review EatingWell magazine is a popular publication that focuses on healthier eating habits for the entire family. Not only does it feature delicious recipes with colorful photo layouts, the magazine covers topics such as the origins of your favorite foods, organic production methods, and general nutrition information provided by experts.  The winner of numerous awards, EatingWell magazine attracts many notable nutritional science professionals and health conscious writers who contribute to the magazine on a regular basis. These individuals share a wide variety of ingenious tips and tricks to whip up wholesome, simple-to-prepare dishes delight the taste buds. Whether you are in search of new breakfast ideas, something to make in your slow cooker, or a yummy dessert, this is the publication to turn to.  EatingWell magazine features articles on subjects such as how to prevent weight gain during the holidays, foods that boost metabolism, healthy budget dinners, and dangerous in",,https://m.media-amazon.com/images/I/61j2TY4veJL._AC_.jpg,MAIN,the cover of allreps magazine
B0040VGZSG,Burda Style - English ed,,,https://m.media-amazon.com/images/I/51fQt6I1Z6L._AC_.jpg,MAIN,a magazine cover with a woman in a dress
B00005N7S5,PC World,,,https://m.media-amazon.com/images/I/51PNIP6wW4L._AC_.jpg,MAIN,the cover of a magazine with a laptop on it
B001Q6604M,Superb Fill It Ins - Bonus Large Print    Print Magazine,Easy to read puzzles including number 7 Fill-It-Ins.,,https://m.media-amazon.com/images/I/51xqaRfmC6L._AC_.jpg,MAIN,super fill - in ' s crosswords book
B00005NIOO,Prevention    Print Magazine,,,https://m.media-amazon.com/images/I/61O4y5S6ovL._AC_.jpg,MAIN,a magazine cover with an avoca and a smiley face
B0002I7UQW,Beckett Basketball,,,https://m.media-amazon.com/images/I/51S6bDVB+TL._AC_.jpg,MAIN,the cover of the issue of sports illustrated magazine
B0160CLPG4,Babybug    Print Magazine,"Product Description Beloved by parents and caregivers, Babybug is a fun and educational magazine for children ages 6 months to 3 years, filled with richly illustrated simple stories, rhymes, lovable characters and more. Amazon.com Review The perfect “first” magazine for a child, each issue of Babybug magazine has a different theme; from seasonal crafts to baking together to making homemade bubbles, your child will be engaged with hands-on activities. Stories are crafted to educate your baby on concepts like wind, clouds, colors, and sounds. On the last page of each publication is a “Guide for Caregivers” that offers read-aloud tips and child development insights.  Babybug’s ad-free pages are full of rich, colorful illustrations from award-winning children’s authors and illustrators keep your child engaged as they explore the world through imagery and imagination. Perfect for children to explore on their own, this magazine was carefully designed with durable pages, rounded corners, no s",,https://m.media-amazon.com/images/I/51AVTsDacML._AC_.jpg,MAIN,"the cricket baby book with illustrations of animals, birds and flowers"
B071SCRXVQ,MILIEU - CEASED OFFER    Print Magazine,"MILIEU magazine introduces readers to the best designers and projects, people and places. Shining an editorial light on diverse talent and interior and garden design.",,https://m.media-amazon.com/images/I/512hEqxtt1L._AC_.jpg,MAIN,the cover of a magazine with red vases on a table
B001ZZI5V0,People    Print Magazine,"America's Most Popular Magazine. Defining celebrity, driving conversation and inspiring action. We're America's trusted connection to the people you want to know and the moments that shape their lives.",,https://m.media-amazon.com/images/I/51+K3qCIWkL._AC_.jpg,MAIN,the cover of people magazine with a woman in a pink dress
B00006KO75,Missouri Review,,,https://m.media-amazon.com/images/I/51MZDCX05EL._AC_.jpg,MAIN,the missouri review cover with a woman ' s face
B000066HV3,CatWatch,,,https://m.media-amazon.com/images/I/61BEDUFoHeL._AC_.jpg,MAIN,the article is featured in the catwatch magazine
B00006KX6Z,Small Time Operator    Print Magazine,"Includes helpful tips for starting a successful small business. Also, there is special section dedicated to doing business on the internet.",,https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_.gif,MAIN,the north face half dome cap black
B000066HUX,Arizona Highways Magazine,,,https://m.media-amazon.com/images/I/512BWOW54hL._AC_.jpg,MAIN,the cover of arizona highways magazine featuring a man on a horse
B000OPOEDU,Bicycling    Print Magazine,"Product Description Bicycling inspires cyclists with authoritative recommendations on the latest bikes and gear, the best advice on getting fitter and stronger, and guides to ride the most beautiful roads and trails. Bicycling gives experienced racers and beginning cyclists the practical tips to enjoy the ride of their lives. Amazon.com Review Who Reads Bicycling Magazine? Bicycling is the world’s leading cycling magazine – and the only one that covers the entire spectrum of cycling from road cycling to mountain biking to recreational cycling and cycling for health and fitness. Each action-packed issue is filled with proven secrets that are guaranteed to help you go faster, stronger, longer. Bicycling 's unique combination of travel, gear, fitness, style and award-winning stories -- all surrounded by vivid photography and framed in elegant design -- brings the sport to life. On and off your bike, Bicycling will fuel your cycling passion. Bicycling will take you to the world’s premier c",,https://m.media-amazon.com/images/I/61KridndzwL._AC_.jpg,MAIN,the cover of bicycle magazine featuring two people riding bikes on a road
B00ENOOFZ0,Combat Aircraft    Print Magazine,"Serves the needs of aviation professionals or enthusiasts of combat aircraft. Provides detailed articles on varying makes and models, picture galleries, formations, tactics and air shows.",,https://m.media-amazon.com/images/I/51rqVvlXEiL._AC_.jpg,MAIN,"the cover of combat aircraft magazine, featuring an image of a fighter jet"
B00006K2MD,Airways : a Global Review of Commercial Flight,,,https://m.media-amazon.com/images/I/51BZvuf4d+L._AC_.jpg,MAIN,an airplane on the cover of a magazine
B00HSUY3RQ,WATCH!    Print Magazine,,,https://m.media-amazon.com/images/I/61SuuxyGy+L._AC_.jpg,MAIN,a man sitting on the steps of a building
B000071HQ6,Steam World    Print Magazine,Steam World covers all aspects of steam engines used in Britain prior to 1971.,,https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_.gif,MAIN,"a black and white photo of the back of a man ' s face, with the words ` no more"
B00OYJ6ONA,World of Archie Comics Digest,,,https://m.media-amazon.com/images/I/61+J4WEI4YL._AC_.jpg,MAIN,"world of archie and the person, volume 1"
B005FSTOJ0,Crochet!,,,https://m.media-amazon.com/images/I/51rolroaHgL._AC_.jpg,MAIN,a woman wearing a pink cardigan sweater and white jeans
